"Image name" "Image:Name"
"Image creation date" "Image:CreationDate"
"Image description" "Image:Description"
"Pixel width (in microns)" "Image:CustomAttributes:Dimensions:PixelSizeX"
"Pixel height (in microns)" "Image:CustomAttributes:Dimensions:PixelSizeY"
"Pixel depth (Z)" "Image:CustomAttributes:Dimensions:PixelSizeZ"
"Pixel depth (C)" "Image:CustomAttributes:Dimensions:PixelSizeC"
"Pixel depth (T)" "Image:CustomAttributes:Dimensions:PixelSizeT"
"Image width" "Image:Pixels:SizeX"
"Image height" "Image:Pixels:SizeY"
"Number of channels" "Image:Pixels:SizeC"
"Number of timepoints" "Image:Pixels:SizeT"
"Number of slices" "Image:Pixels:SizeZ"
"Pixel type" "Image:Pixels:PixelType"
"Big endian" "Image:Pixels:BigEndian"
"Dimension order" "Image:Pixels:DimensionOrder"
"Stage label name" "Image:StageLabel:Name"
"Stage label X coordinate" "Image:StageLabel:X"
"Stage label Y coordinate" "Image:StageLabel:Y"
"Stage label Z coordinate" "Image:StageLabel:Z"
"Experimenter's first name" "CustomAttributes:Experimenter:FirstName"
"Experimenter's last name" "CustomAttributes:Experimenter:LastName"
"Experimenter's email address" "CustomAttributes:Experimenter:Email"
"Experimenter's institution" "CustomAttributes:Experimenter:Institution"
